Date,pe,pe,pb,pb,mom,mom,cfni,cfni,leve,leve,quick,quick
1990/4/30,0.794570903,0.803766832,0.399631487,0.826762686,0.099555633,-0.335348186,-0.401649337,-0.079532617,-0.776691975,-0.206632204,0.950120918,0.668476351
1990/5/31,0.963431861,-0.822150932,0.965542565,-0.140765255,0.964738785,0.66669638,0.303742294,0.800982584,-0.166680039,-0.591864025,0.919196049,0.03641393
1990/6/30,-0.003455168,-0.195955847,0.910393054,0.657193083,-0.373832799,0.999024025,0.88013116,0.919094446,0.564690914,-0.961680667,0.388048977,0.709982213
1990/7/31,-0.873212433,-0.619541838,0.36313776,-0.907900481,-0.72294325,-0.69486685,0.433404997,-0.354182255,0.530328207,0.735604241,-0.98857727,-0.977042823
1990/8/31,0.96320305,0.944532996,0.224025135,0.230183893,0.903581833,-0.861525136,-0.201313892,-0.595222042,-0.308312957,0.287819093,0.922279242,0.290288109
1990/9/30,0.999686535,-0.376453173,0.104148644,-0.421473467,0.11172939,0.538977761,-0.881359403,-0.995067525,-0.928165117,0.717405173,0.887376581,-0.907490344
1990/10/31,0.126929838,0.376486186,0.964788042,0.430247606,0.970907343,-0.310738271,-0.912211183,0.408314315,0.072132605,-0.405069978,0.649653291,0.60643663
1990/11/30,-0.623511978,-0.912780341,0.811242787,-0.852286352,0.8284936,-0.804479232,0.79111045,-0.908423217,-0.303364775,0.157138807,-0.45386828,0.420091808
1990/12/31,-0.598108212,-0.114015238,-0.508745404,-0.503331627,-0.959792866,-0.271164602,0.994350084,-0.814845509,0.968205757,0.944365496,-0.630366725,-0.73617933
1991/1/31,-0.959385778,-0.360131491,-0.693523389,-0.042295375,-0.137972302,0.194249071,-0.11641413,-0.609876996,-0.966044382,-0.681765258,0.930183422,0.470957381
1991/2/28,0.963034795,0.249866995,0.178391841,0.509913194,-0.600747615,0.303280048,0.736447629,-0.977654403,0.90054083,-0.936310982,-0.944330963,0.759434622
1991/3/31,-0.639309915,-0.223315514,0.100560962,-0.726555612,-0.782074579,-0.984315935,-0.590683032,0.904983573,0.256588021,0.806163893,-0.564485618,-0.611879234
1991/4/30,-0.089195893,0.739515548,-0.325118044,0.742938368,-0.647439057,0.643167915,-0.059187419,-0.857978929,0.09423375,-0.392709546,-0.787616106,0.225018003
1991/5/31,0.075071301,-0.712476864,0.120002406,-0.670623176,0.885880299,-0.198572974,0.210134004,0.991189573,-0.11984001,0.607219618,-0.523522599,-0.417290915
1991/6/30,0.266179578,-0.996003032,0.186120071,-0.907658886,0.986113663,0.320957069,0.168388256,0.847340712,0.398195607,0.629904198,-0.924480087,-0.517814859
1991/7/31,-0.949693013,-0.505848821,0.988702618,-0.646519108,0.216405334,0.831196494,-0.933334072,-0.064380746,-0.58210352,0.814367345,-0.084662948,-0.69000087
1991/8/31,0.020329688,-0.180082075,0.431640786,0.951475499,0.990571743,-0.473797538,-0.502039049,-0.747612046,0.555837118,-0.390261044,-0.903679928,0.455928673
1991/9/30,-0.455801953,-0.106084184,-0.050603371,-0.819189221,-0.81599779,0.889694589,-0.21244167,0.61549083,-0.474560737,0.884887173,0.874080259,-0.814772618
1991/10/31,0.604458905,0.058794573,-0.446705831,-0.903509794,0.467140972,0.207390937,0.515234946,0.418239177,0.365689854,0.331429262,-0.903684932,-0.591908868
1991/11/30,-0.993659314,-0.935574647,0.835480473,0.70014995,0.22417046,-0.26846247,-0.985605783,-0.737952334,-0.400470539,-0.694732302,0.288753754,0.812323942
1991/12/31,0.422107917,-0.2690597,-0.048319308,-0.439186631,0.39191034,0.007367084,-0.276077474,0.732079239,0.617129841,-0.510790304,-0.753871713,0.606301252
1992/1/31,0.997356396,-0.572867035,-0.75286721,-0.714600558,-0.789206187,-0.850858131,0.987083062,-0.129143923,0.100871431,-0.840415978,-0.847510717,0.666616139
1992/2/29,0.935664798,-0.780621123,-0.496859422,-0.638715234,-0.090227479,-0.682540774,0.684726668,0.772205781,0.59510583,-0.323470048,-0.828203701,-0.2444322
1992/3/31,0.396056861,-0.671980648,0.399021382,-0.978432525,0.252687751,-0.110502762,0.484181689,0.455829449,-0.794052469,0.364731076,-0.836324929,-0.675212756
1992/4/30,0.250022438,-0.865135926,0.586701345,-0.728092829,0.217668491,-0.600252188,0.473377131,-0.511653704,-0.630223567,0.662872929,0.185105626,-0.922460079
1992/5/31,0.955031834,-0.369939683,-0.767766384,-0.129933528,-0.241143698,-0.58259772,0.892324213,-0.755873948,0.759304492,0.851709688,-0.798398177,-0.787170048
1992/6/30,-0.750808551,-0.105836073,-0.290420663,-0.056442518,-0.673580967,-0.352805584,-0.837940174,-0.265298425,-0.663438216,-0.250009387,0.960450957,0.649466766
1992/7/31,-0.617342537,0.23155637,0.517642633,0.16971853,0.106832767,0.639638984,0.39122076,0.815348048,0.89136912,-0.104604433,-0.857486678,0.05780564
1992/8/31,-0.313891535,0.776052597,0.554667082,0.904023191,-0.520307964,-0.704376487,-0.822448137,-0.080605416,-0.106791898,0.50766624,0.042950733,0.037217812
1992/9/30,-0.048803804,0.992744804,-0.486481401,0.952863294,-0.310803818,0.684928714,0.837227638,0.490333172,0.889102119,-0.563286292,-0.851115851,0.839903107
1992/10/31,-0.930230426,0.554149251,0.463516575,0.609417565,0.156472923,0.474045709,0.146833267,0.316729701,-0.146105031,-0.206920339,-0.503791237,0.283439353
1992/11/30,0.187089597,-0.175360102,-0.333224053,-0.280352106,0.336584011,-0.237417003,0.958030908,-0.583226667,0.579058436,-0.351131221,0.457319623,0.35101593
1992/12/31,-0.871435136,0.179242298,0.933170148,-0.169296032,0.924446278,0.828999484,0.338328553,-0.614978226,-0.035951593,-0.731816976,0.182854643,0.822810939
1993/1/31,0.813971197,-0.195730878,-0.193554041,-0.508885038,-0.470750654,0.972638071,0.460668785,-0.806348238,0.623059745,-0.673232053,0.300457516,0.704401935
1993/2/28,0.941661057,-0.147012907,-0.416261416,-0.392465902,-0.74208218,0.518573882,0.200382316,-0.339899179,0.764753274,-0.664772565,0.362860511,0.806164016
1993/3/31,-0.924349962,-0.777217093,0.531768721,-0.847808315,0.77303292,-0.693964942,0.038250267,0.13876288,-0.610197064,0.153143776,-0.403086957,-0.380041061
1993/4/30,-0.239536734,-0.801628106,0.884757827,-0.707174208,0.619917652,-0.943751431,0.156176363,0.830743272,0.35775226,-0.003210544,-0.902172225,-0.662898029
1993/5/31,0.569525744,0.856524428,-0.672314604,0.803750784,-0.624247999,0.74887393,-0.770402214,-0.222718484,-0.616924776,-0.501905221,0.65242274,0.718809211
1993/6/30,-0.162763161,0.788024736,0.518583415,0.604282558,0.511938529,-0.237358105,-0.262016271,-0.744420695,-0.35177877,0.390848675,-0.808166452,0.099413836
1993/7/31,-0.898033324,0.951559557,0.888293359,0.915186903,0.832384821,-0.460803956,0.430095575,0.137543812,0.065309867,0.23105077,-0.565400295,-0.333662963
1993/8/31,-0.187676839,-0.359776731,0.774736548,-0.410420963,0.58565259,-0.346416265,0.819110197,-0.116223518,0.737592107,-0.606768988,-0.993361126,0.960300539
1993/9/30,-0.89360574,0.271335713,0.210701317,0.001555832,0.394642313,0.577744842,-0.233053414,0.440682867,-0.713033978,-0.602536761,0.305122037,0.845860292
1993/10/31,0.255555676,0.027046002,0.322540624,-0.085411193,0.357817566,0.2013495,-0.089164256,-0.102773609,0.697034846,0.013768322,0.986152909,-0.368386421
1993/11/30,0.963592437,0.006375616,-0.831490105,-0.323263703,-0.724839116,0.595431829,0.340116409,0.073253649,0.158578687,-0.34570281,-0.165690019,0.025084447
1993/12/31,0.733504488,0.087987003,-0.62302202,0.242734529,0.61280482,-0.740095827,-0.16768539,-0.306459728,0.557542754,0.808359365,0.757379148,-0.843414768
1994/1/31,-0.620734099,-0.935230887,0.70352723,-0.885546174,-0.596662942,-0.374770108,-0.266944369,-0.440531061,-0.746069562,-0.217612642,-0.434469939,0.341119522
1994/2/28,-0.476067971,-0.233205132,-0.035940936,-0.091196972,-0.817072689,0.002860631,-0.989866451,-0.609532436,0.002573523,-0.04901872,0.043672388,0.107136404
1994/3/31,0.432070795,0.24961976,-0.932530505,0.25697788,-0.041317468,-0.746180037,-0.50215672,0.001458198,0.096951664,0.313640247,0.292625864,-0.221675111
1994/4/30,0.912464267,0.221539466,-0.003992841,0.285989059,0.45375336,0.234034986,0.548758549,0.027786656,0.874118084,0.50381985,0.022859065,-0.580682835
1994/5/31,0.902054384,-0.053574082,0.182274348,-0.142338422,0.525969785,-0.569447623,0.450294318,-0.071564087,0.847557967,-0.710079315,-0.117792288,0.653572246
1994/6/30,-0.373401133,0.071103248,-0.091761931,0.022183415,-0.03934784,0.183541498,0.432086626,0.663859662,-0.118377477,0.686810562,-0.221370147,-0.514382798
1994/7/31,-0.342377228,-0.262187974,0.198867808,-0.076217584,0.216664349,-0.156839485,-0.176853985,0.049871816,0.016333649,0.408360816,0.152391691,-0.053695983
1994/8/31,0.394033025,-0.059238396,-0.107876894,0.105038951,0.313676512,0.148991582,0.590822239,-0.120477706,0.258872777,-0.704615374,-0.472734976,0.362618133
1994/9/30,-0.06220539,0.086740846,0.301139759,0.119437361,0.007346665,0.046544054,0.608605669,-0.144345081,-0.148606248,-0.032532148,-0.107015495,-0.017659142
1994/10/31,-0.281431272,0.167161082,-0.017164924,0.189004674,-0.030049382,0.215596933,0.024013458,-0.245685533,-0.074957294,-0.398083993,0.008307558,0.151754184
1994/11/30,-0.029328611,-0.328561504,-0.477012773,-0.376433009,-0.158088859,-0.453331047,-0.141535958,-0.180647166,0.010598775,-0.078055041,-0.34287744,-0.010717832
1994/12/31,-0.112228137,0.124932857,-0.109491086,0.147243608,0.220383736,0.505996081,-0.356423607,-0.016156557,-0.19215732,-0.40907309,0.450927549,0.18158266
